,베타값,대형주,중형주,코스피,19-20,거래량,per(3/1 9/1일기준 company guide per band 기준),IT,"화학,소재",유틸리티,에너지,필수소비재,금융,헬스케어,전기차,건설업,"통신,방송","유통,의류",,,
1.삼성전자,1.350185635,1,0,1,0,11001621.1,7.908500136,1,0,0,0,0,0,0,0,0,0,0,,,
,0.992920816,1,0,1,1,18963980.87,12.64018933,1,0,0,0,0,0,0,0,0,0,0,,,
sk하이닉스,1.696817932,1,0,1,0,3376378.488,3.717447036,1,0,0,0,0,0,0,0,0,0,0,,,
,1.085719938,1,0,1,1,3827066.421,11.09209163,1,0,0,0,0,0,0,0,0,0,0,,,
3.NAVER,0.983607556,1,0,1,0,490338.8387,,1,0,0,0,0,0,0,0,0,0,0,,,
,0.74861559,1,0,1,1,757309.7792,43.16285443,1,0,0,0,0,0,0,0,0,0,0,,,
4.LG화학,1.145149138,1,0,1,0,194995.1605,17.98431459,0,0,0,0,0,0,0,1,0,0,0,,,
,1.350751905,1,0,1,1,495516.5649,38.86935411,0,0,0,0,0,0,0,1,0,0,0,,,
5.삼성바이오로직스,1.063855934,1,0,1,0,124007.8871,,0,0,0,0,0,0,1,0,0,0,0,,,
,0.873296169,1,0,1,1,218290.9762,97.72307331,0,0,0,0,0,0,1,0,0,0,0,,,
6.현대차,0.864873955,1,0,1,0,591171.9718,17.16666986,0,0,0,0,0,0,0,1,0,0,0,,,
,1.280462009,1,0,1,1,1673595.14,14.24557399,0,0,0,0,0,0,0,1,0,0,0,,,
7.셀트리온,0.999811402,1,0,1,0,604894.5323,,0,0,0,0,0,0,1,0,0,0,0,,,
,0.804311931,1,0,1,1,1091775.447,72.98388759,0,0,0,0,0,0,1,0,0,0,0,,,
8.카카오,0.858038656,1,0,1,0,457065.8981,138.3357472,1,0,0,0,0,0,0,0,0,0,0,,,
,0.75008333,1,0,1,1,890486.9406,,1,0,0,0,0,0,0,0,0,0,0,,,
9.삼성sdi,1.272912409,1,0,1,0,322359.2972,26.36318458,0,0,0,0,0,0,0,1,0,0,0,,,
,1.348460163,1,0,1,1,540187.34,35.4556116,0,0,0,0,0,0,0,1,0,0,0,,,
10.LG생활건강,0.84494665,1,0,1,0,33730.38986,34.07015174,0,1,0,0,0,0,0,0,0,0,0,,,
,0.683673243,1,0,1,1,41638.71155,30.70223768,0,1,0,0,0,0,0,0,0,0,0,,,
셀트리온헬스케어,1.226692716,1,0,0,0,902479.956,246.3328389,0,0,0,0,0,0,1,0,0,0,0,,,
,0.838563583,1,0,0,1,2403954.011,140.4240777,0,0,0,0,0,0,1,0,0,0,0,,,
씨젠,1.043851698,1,0,0,0,158356.526,73.28366645,0,0,0,0,0,0,1,0,0,0,0,,,
,0.094914685,1,0,0,1,2732695.465,23.5907234,0,0,0,0,0,0,1,0,0,0,0,,,
셀트리온제약,1.440603677,1,0,0,0,189037.0442,,0,0,0,0,0,0,1,0,0,0,0,,,
,0.871974706,1,0,0,1,942658.0622,291.2873356,0,0,0,0,0,0,1,0,0,0,0,,,
제넥신,1.534722659,1,0,0,0,157817.2454,,0,0,0,0,0,0,1,0,0,0,0,,,
,0.818400552,1,0,0,1,760603.9577,,0,0,0,0,0,0,1,0,0,0,0,,,
에이치엘비,1.153051077,1,0,0,0,1010552.635,300,0,0,0,0,0,0,1,0,0,0,0,,,
,0.957096397,1,0,0,1,1549081.733,,0,0,0,0,0,0,1,0,0,0,0,,,
SK머티리얼스,0.545816936,1,0,0,0,43829.40492,17.50723357,0,1,0,0,0,0,0,0,0,0,0,,,
,0.962589015,1,0,0,1,58251.58059,14.13327688,0,1,0,0,0,0,0,0,0,0,0,,,
CJ ENM,0.620456163,1,0,0,0,70892.97457,17.80693832,0,0,0,0,0,0,0,0,0,1,0,,,
,0.974794403,1,0,0,1,125616.6494,26.25466645,0,0,0,0,0,0,0,0,0,1,0,,,
케이엠더블유,0.948988957,1,0,0,0,515660.2788,,0,0,0,0,0,0,0,0,0,1,0,,,
