index,베타값,대형주,중형주,코스피,time2,time3,time4,거래량,per,IT,"화학,소재",유틸리티,에너지,필수소비재,금융,헬스케어,전기차,건설업,"통신,방송","유통,의류",코로나와 IT,코로나와 전기차,코로나와 헬스케어,,,,,,,,,,,,,,,,,,
삼성전자,1.254674293,1,0,1,0,0,0,11763262.47,7.908500136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.255432146,1,0,1,1,0,0,10239979.73,8.409296906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.017282483,1,0,1,0,1,0,15914485.24,12.64018933,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.055842707,1,0,1,0,0,1,22013476.49,14.07706343,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
sk하이닉스,1.449616126,1,0,1,0,0,0,3548521.299,3.717447036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.603050273,1,0,1,1,0,0,3204235.677,4.44283317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.098444209,1,0,1,0,1,0,3373377.146,11.09209163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.161567277,1,0,1,0,0,1,4280755.696,24.993981,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
삼성바이오로직스,1.231925281,1,0,1,1,0,0,124007.8871,96.61637482,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.895739441,1,0,1,0,1,0,141228.5203,97.72307331,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.70699957,1,0,1,0,0,1,295353.432,152.5933441,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,1.167644094,1,0,1,0,0,0,217023.8291,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
lg화학,1.167644094,1,0,1,0,0,0,217023.8291,17.98431459,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
